100; 100; 20; 20
100; 120; 20; 20
100; 140; 20; 20
120; 100; 20; 20
120; 120; 20; 20
120; 140; 20; 20
300; 100; 20; 20
300; 120; 20; 20
300; 140; 20; 20
320; 100; 20; 20
320; 120; 20; 20
320; 140; 20; 20
100; 300; 20; 20
100; 320; 20; 20
100; 340; 20; 20
120; 300; 20; 20
120; 320; 20; 20
120; 340; 20; 20
300; 300; 20; 20
300; 320; 20; 20
300; 340; 20; 20
320; 300; 20; 20
320; 320; 20; 20
320; 340; 20; 20
200; 200; 20; 20
200; 220; 20; 20
200; 240; 20; 20
220; 200; 20; 20
220; 220; 20; 20
220; 240; 20; 20
